Roll No.,Name,Number of courses they wish to take,First course preference,Second course preference,Third course preference,Fourth course preference,Fifth course preference,Sixth course preference
22510931,Barrett Parra,3,ES 243-Biology for Engineers,ES 613-Modern Control Theory,MA 605-Commutative Algebra,,,
21110920,Dalary Parks,3,CL 604-Advanced Reaction Engineering,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,MS 404-Neuromarketing,ES 243-Biology for Engineers
21520817,Gianni McIntosh,1,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,CS 303-Mathematical Foundations for AI,ME 636-Fuel Cell and Battery Systems,MSE 401-Introduction to Polymer Physics and Processing,
21520629,Gwen Bean,2,MSE 310-Physics of Materials,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,MSE 625-Thermodynamics of thin film growth,HS 643-Indian and Western Cultural Theory,
19510821,Mccoy Bishop,2,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,EH 614-Physics of the Lithosphere,,
22520575,Brooklynn Glass,4,MSE 209-Material Thermodynamics and Kinetics,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,MA 624-Partial Differential Equations,,
19510590,Allan Vega,2,PH 607-Topics in Quantum and Statistical Mechanics,ES 613-Modern Control Theory,CL 604-Advanced Reaction Engineering,,,
20510576,Dakota Fletcher,1,CL 221-Chemical Engineering Thermodynamics,,,,,
23110261,Jay Ortega,3,ES 243-Biology for Engineers,EH 614-Physics of the Lithosphere,CS 303-Mathematical Foundations for AI,CH 401-Food Chemistry,ME 321-Mechanics of Deformable Bodies,MA 603-Nonlinear Analysis with Applications
20510292,Lilah Schroeder,2,CL 628-Liquid State Theory,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,CH 401-Food Chemistry,,
22520818,Izaiah Liu,2,CE 636-Traffic and Roadway Engineering,ES 613-Modern Control Theory,MA 603-Nonlinear Analysis with Applications,,,
22510977,Kate Jordan,3,CL 628-Liquid State Theory,HS 643-Indian and Western Cultural Theory,MA 624-Partial Differential Equations,CH 401-Food Chemistry,EH 614-Physics of the Lithosphere,PH 607-Topics in Quantum and Statistical Mechanics
19520008,Sawyer Franklin,4,PH 607-Topics in Quantum and Statistical Mechanics,EH 617-Advanced Field Techniques in Earth Sciences,MSE 625-Thermodynamics of thin film growth,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory
19110658,Angela Reyes,1,CH 401-Food Chemistry,,,,,
21520014,Eli Montes,2,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,MS 404-Neuromarketing,,,
21110774,Roselyn Strong,3,CL 604-Advanced Reaction Engineering,CE 304-Concrete Design,ES 243-Biology for Engineers,CL 628-Liquid State Theory,ME 636-Fuel Cell and Battery Systems,ES 613-Modern Control Theory
20510218,Axl Beard,3,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry,MSE 625-Thermodynamics of thin film growth,CL 604-Advanced Reaction Engineering,HS 649-Public Policy and its Impact Evaluation,ES 613-Modern Control Theory
23520505,Ezra Ibarra,3,CH 401-Food Chemistry,ES 243-Biology for Engineers,HS 649-Public Policy and its Impact Evaluation,MSE 625-Thermodynamics of thin film growth,,
21520179,Asa Schmidt,4,CL 628-Liquid State Theory,MSE 625-Thermodynamics of thin film growth,EH 614-Physics of the Lithosphere,ME 636-Fuel Cell and Battery Systems,CH 401-Food Chemistry,MA 624-Partial Differential Equations
22520049,Kimberly Carson,2,MA 603-Nonlinear Analysis with Applications,CE 304-Concrete Design,CL 628-Liquid State Theory,EH 617-Advanced Field Techniques in Earth Sciences,ME 636-Fuel Cell and Battery Systems,
23520648,Ares Rowe,2,MSE 209-Material Thermodynamics and Kinetics,PH 607-Topics in Quantum and Statistical Mechanics,EH 617-Advanced Field Techniques in Earth Sciences,CL 628-Liquid State Theory,CL 221-Chemical Engineering Thermodynamics,MSE 625-Thermodynamics of thin film growth
22520309,Matilda Gould,1,ES 613-Modern Control Theory,MSE 209-Material Thermodynamics and Kinetics,,,,
21110675,Blaine Cobb,2,ES 415-Nature-inspired Materials Design,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science,,,
21520968,Aviana Nicholson,2,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,HS 649-Public Policy and its Impact Evaluation,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,
22110700,Rodrigo Romero,1,ES 243-Biology for Engineers,,,,,
19520882,Eliza McDowell,4,CE 636-Traffic and Roadway Engineering,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,MA 624-Partial Differential Equations,MSE 209-Material Thermodynamics and Kinetics,
21520744,Lachlan Spears,3,CS 303-Mathematical Foundations for AI,HS 649-Public Policy and its Impact Evaluation,MSE 209-Material Thermodynamics and Kinetics,EH 617-Advanced Field Techniques in Earth Sciences,CE 636-Traffic and Roadway Engineering,
22110640,Isabela Nash,4,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,ME 636-Fuel Cell and Battery Systems
20110653,Chandler Huynh,3,MSE 401-Introduction to Polymer Physics and Processing,CL 604-Advanced Reaction Engineering,CE 304-Concrete Design,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics
22520296,Oaklee Moon,3,HS 632-A Multilingual Nation,ME 321-Mechanics of Deformable Bodies,MSE 401-Introduction to Polymer Physics and Processing,,,
23110311,Nova Porter,4,MSE 209-Material Thermodynamics and Kinetics,ES 613-Modern Control Theory,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,ME 321-Mechanics of Deformable Bodies,
21110131,Ryleigh Delarosa,3,MA 603-Nonlinear Analysis with Applications,CH 401-Food Chemistry,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,,
22110526,Osiris Hail,2,MA 624-Partial Differential Equations,CL 628-Liquid State Theory,CS 303-Mathematical Foundations for AI,EH 614-Physics of the Lithosphere,MA 603-Nonlinear Analysis with Applications,
20520621,Lainey Lozano,3,EH 614-Physics of the Lithosphere,MSE 625-Thermodynamics of thin film growth,CL 221-Chemical Engineering Thermodynamics,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,ES 623-Biomolecular Materials Science
21110065,Boone Harrell,4,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,
23110427,Kara West,4,PH 607-Topics in Quantum and Statistical Mechanics,CH 401-Food Chemistry,ES 613-Modern Control Theory,HS 632-A Multilingual Nation,CL 221-Chemical Engineering Thermodynamics,CS 303-Mathematical Foundations for AI
22110097,Diego Duffy,2,HS 643-Indian and Western Cultural Theory,ES 613-Modern Control Theory,ME 636-Fuel Cell and Battery Systems,,,
20110804,Addisyn McClure,4,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,ME 636-Fuel Cell and Battery Systems
19110844,Reese Everett,3,ME 321-Mechanics of Deformable Bodies,MS 404-Neuromarketing,CL 221-Chemical Engineering Thermodynamics,CH 401-Food Chemistry,,
20510826,Noah McKenzie,1,EH 614-Physics of the Lithosphere,HS 643-Indian and Western Cultural Theory,MA 624-Partial Differential Equations,ES 243-Biology for Engineers,,
19520704,Scott Jefferson,3,ES 613-Modern Control Theory,MSE 310-Physics of Materials,MA 605-Commutative Algebra,CL 604-Advanced Reaction Engineering,ES 415-Nature-inspired Materials Design,
23510745,Julieta Frye,4,EH 617-Advanced Field Techniques in Earth Sciences,MA 624-Partial Differential Equations,CS 303-Mathematical Foundations for AI,ME 321-Mechanics of Deformable Bodies,CE 304-Concrete Design,ES 243-Biology for Engineers
21110461,Franco Dyer,2,HS 649-Public Policy and its Impact Evaluation,MSE 625-Thermodynamics of thin film growth,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,CH 401-Food Chemistry,ME 636-Fuel Cell and Battery Systems
19520904,Estrella Knapp,3,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,MSE 401-Introduction to Polymer Physics and Processing,,,
23520829,Boden Durham,2,CL 628-Liquid State Theory,CG 506-Experimental Techniques in Cognitive Science,MSE 209-Material Thermodynamics and Kinetics,ES 415-Nature-inspired Materials Design,PH 607-Topics in Quantum and Statistical Mechanics,
22510432,Tiffany Rollins,1,PH 607-Topics in Quantum and Statistical Mechanics,,,,,
22520659,Wes Walter,3,MA 624-Partial Differential Equations,EH 614-Physics of the Lithosphere,ES 613-Modern Control Theory,CS 303-Mathematical Foundations for AI,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics
20520262,Penny Clark,4,EH 617-Advanced Field Techniques in Earth Sciences,CL 628-Liquid State Theory,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering,,
23510927,John James,2,MSE 209-Material Thermodynamics and Kinetics,MS 404-Neuromarketing,ES 243-Biology for Engineers,PH 607-Topics in Quantum and Statistical Mechanics,ES 613-Modern Control Theory,
20110318,Quinn O’Donnell,3,ES 243-Biology for Engineers,HS 649-Public Policy and its Impact Evaluation,MSE 209-Material Thermodynamics and Kinetics,CE 636-Traffic and Roadway Engineering,MA 605-Commutative Algebra,
20520998,Lian Cummings,3,ME 321-Mechanics of Deformable Bodies,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,ME 636-Fuel Cell and Battery Systems,
20110348,Nylah Sherman,1,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,,,,
19110199,Adan McDowell,2,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,MSE 310-Physics of Materials,MSE 401-Introduction to Polymer Physics and Processing,
22520833,Rayna Hughes,4,ME 321-Mechanics of Deformable Bodies,MS 404-Neuromarketing,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,,
20510298,Everett Fischer,4,ES 243-Biology for Engineers,CL 604-Advanced Reaction Engineering,CL 221-Chemical Engineering Thermodynamics,MA 624-Partial Differential Equations,MA 603-Nonlinear Analysis with Applications,
19510053,Maci Hartman,1,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,,,,
20510059,Baker Paul,3,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,CH 401-Food Chemistry,MSE 625-Thermodynamics of thin film growth,,
20510689,Daphne Dodson,4,ES 623-Biomolecular Materials Science,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,CE 304-Concrete Design,MA 624-Partial Differential Equations,ES 243-Biology for Engineers
20520664,Seven Pennington,1,PH 607-Topics in Quantum and Statistical Mechanics,ES 243-Biology for Engineers,CS 303-Mathematical Foundations for AI,HS 643-Indian and Western Cultural Theory,,
19510502,Yareli Brooks,2,MSE 401-Introduction to Polymer Physics and Processing,ES 623-Biomolecular Materials Science,HS 643-Indian and Western Cultural Theory,CE 304-Concrete Design,MA 624-Partial Differential Equations,
20510057,Jordan Velazquez,4,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,
22520195,Jaliyah Meadows,3,MA 624-Partial Differential Equations,PH 607-Topics in Quantum and Statistical Mechanics,MA 603-Nonlinear Analysis with Applications,CS 303-Mathematical Foundations for AI,CH 401-Food Chemistry,
19520209,Wayne Cline,4,CH 401-Food Chemistry,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,MA 624-Partial Differential Equations,MSE 625-Thermodynamics of thin film growth,
20510885,Lina Hinton,1,ES 613-Modern Control Theory,CH 401-Food Chemistry,,,,
22110675,Frankie Chapman,1,EH 617-Advanced Field Techniques in Earth Sciences,,,,,
23520404,Zuri O’Neill,3,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,ES 613-Modern Control Theory,HS 643-Indian and Western Cultural Theory,MSE 310-Physics of Materials,
19110145,Marcel Hogan,4,MA 624-Partial Differential Equations,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems,ME 321-Mechanics of Deformable Bodies,ES 623-Biomolecular Materials Science,CL 628-Liquid State Theory
23110872,Kathryn Delgado,2,CE 304-Concrete Design,MSE 401-Introduction to Polymer Physics and Processing,ES 415-Nature-inspired Materials Design,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications
20520761,Colt Carson,2,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,HS 649-Public Policy and its Impact Evaluation,,
19510365,Nalani Meyers,2,HS 649-Public Policy and its Impact Evaluation,ME 636-Fuel Cell and Battery Systems,ES 623-Biomolecular Materials Science,MSE 209-Material Thermodynamics and Kinetics,MSE 310-Physics of Materials,
20520551,Julien Harrell,3,ES 415-Nature-inspired Materials Design,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,ES 243-Biology for Engineers,
23510546,Kara Burke,3,MSE 401-Introduction to Polymer Physics and Processing,HS 643-Indian and Western Cultural Theory,ES 243-Biology for Engineers,MA 624-Partial Differential Equations,CL 604-Advanced Reaction Engineering,
19110886,Jax Lucas,1,PH 607-Topics in Quantum and Statistical Mechanics,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,CL 628-Liquid State Theory,,
20510037,Phoenix Ventura,2,HS 649-Public Policy and its Impact Evaluation,ME 636-Fuel Cell and Battery Systems,,,,
19110033,Branson Richard,2,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,CS 303-Mathematical Foundations for AI,ES 613-Modern Control Theory,MA 624-Partial Differential Equations,
19520159,Davina Nava,2,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,CS 303-Mathematical Foundations for AI,,
20520156,Stefan Hanson,1,MSE 209-Material Thermodynamics and Kinetics,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,
20510028,Mariana Hale,1,ME 321-Mechanics of Deformable Bodies,,,,,
23520827,Ezequiel Fowler,1,MSE 310-Physics of Materials,HS 632-A Multilingual Nation,ES 613-Modern Control Theory,,,
23520705,Lennon Benton,1,MA 605-Commutative Algebra,MS 404-Neuromarketing,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,MA 603-Nonlinear Analysis with Applications
20110971,Jamal Terry,1,CL 628-Liquid State Theory,EH 617-Advanced Field Techniques in Earth Sciences,CH 401-Food Chemistry,,,
20520135,Wren Kirk,2,CL 628-Liquid State Theory,ES 623-Biomolecular Materials Science,MSE 401-Introduction to Polymer Physics and Processing,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,
22110549,Alessandro Munoz,4,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,MSE 625-Thermodynamics of thin film growth,,
22110175,Kehlani Hurst,2,MSE 310-Physics of Materials,ES 623-Biomolecular Materials Science,CH 401-Food Chemistry,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,
23520793,Neil Nava,4,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,MA 603-Nonlinear Analysis with Applications,ES 243-Biology for Engineers,,
20110852,Scout Harper,4,CE 304-Concrete Design,MS 404-Neuromarketing,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,
19520492,Hayes Francis,3,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,ES 613-Modern Control Theory,,,
23110972,Daniella Andersen,1,ES 243-Biology for Engineers,MA 605-Commutative Algebra,CH 401-Food Chemistry,,,
20510955,Alistair Barrera,2,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics,PH 607-Topics in Quantum and Statistical Mechanics,
23520422,Beatrice Boyer,3,ME 636-Fuel Cell and Battery Systems,CG 506-Experimental Techniques in Cognitive Science,CH 401-Food Chemistry,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,
19510425,Zeke Webster,4,ME 321-Mechanics of Deformable Bodies,CL 221-Chemical Engineering Thermodynamics,CE 304-Concrete Design,PH 607-Topics in Quantum and Statistical Mechanics,MSE 310-Physics of Materials,CH 401-Food Chemistry
23520091,Kensley Abbott,4,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,MSE 401-Introduction to Polymer Physics and Processing,,
22520098,Kohen Moran,2,MSE 625-Thermodynamics of thin film growth,CL 221-Chemical Engineering Thermodynamics,ES 243-Biology for Engineers,,,
19110740,Celeste Mercado,3,CH 401-Food Chemistry,CL 628-Liquid State Theory,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications
21510371,Abram Castillo,3,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,HS 649-Public Policy and its Impact Evaluation,CH 401-Food Chemistry,CL 604-Advanced Reaction Engineering,
21110765,Eva Molina,4,CL 604-Advanced Reaction Engineering,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics,MA 605-Commutative Algebra,ME 321-Mechanics of Deformable Bodies,
19110525,Prince Coleman,4,CE 636-Traffic and Roadway Engineering,ES 623-Biomolecular Materials Science,ES 243-Biology for Engineers,MA 605-Commutative Algebra,MSE 310-Physics of Materials,PH 607-Topics in Quantum and Statistical Mechanics
20520481,Julia McKay,4,ME 321-Mechanics of Deformable Bodies,PH 607-Topics in Quantum and Statistical Mechanics,MSE 209-Material Thermodynamics and Kinetics,HS 649-Public Policy and its Impact Evaluation,,
21520648,Joey Luna,3,MSE 401-Introduction to Polymer Physics and Processing,MA 624-Partial Differential Equations,CS 303-Mathematical Foundations for AI,CL 628-Liquid State Theory,,
20110330,Journey Norman,2,CE 304-Concrete Design,MSE 209-Material Thermodynamics and Kinetics,EH 617-Advanced Field Techniques in Earth Sciences,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies
22520295,Aziel Meadows,3,ES 243-Biology for Engineers,ES 415-Nature-inspired Materials Design,MSE 401-Introduction to Polymer Physics and Processing,MSE 310-Physics of Materials,,
20110190,Pearl Hall,1,ES 415-Nature-inspired Materials Design,HS 649-Public Policy and its Impact Evaluation,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies
23110417,Thomas Hester,4,ES 243-Biology for Engineers,CL 221-Chemical Engineering Thermodynamics,CS 303-Mathematical Foundations for AI,HS 649-Public Policy and its Impact Evaluation,CL 604-Advanced Reaction Engineering,ME 636-Fuel Cell and Battery Systems
21520605,Zendaya Pena,2,CH 401-Food Chemistry,MSE 625-Thermodynamics of thin film growth,,,,
19510392,Marcus Dennis,2,CH 401-Food Chemistry,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,
21510445,Maisie Fleming,4,MSE 625-Thermodynamics of thin film growth,CE 636-Traffic and Roadway Engineering,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory,,
23520635,Fernando Cunningham,3,ES 415-Nature-inspired Materials Design,MA 603-Nonlinear Analysis with Applications,MA 605-Commutative Algebra,,,
20110715,Marley Clark,4,MSE 310-Physics of Materials,ES 613-Modern Control Theory,CL 604-Advanced Reaction Engineering,CE 304-Concrete Design,,
20510124,John Hogan,1,CE 624-River Engineering,MS 404-Neuromarketing,CH 401-Food Chemistry,MSE 625-Thermodynamics of thin film growth,MA 603-Nonlinear Analysis with Applications,
22520365,Kathryn Montes,3,CL 221-Chemical Engineering Thermodynamics,MSE 310-Physics of Materials,HS 649-Public Policy and its Impact Evaluation,MSE 401-Introduction to Polymer Physics and Processing,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics
20110724,Darren Holmes,3,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,MA 605-Commutative Algebra,,,
21520275,Bailey Crosby,1,ME 636-Fuel Cell and Battery Systems,ES 623-Biomolecular Materials Science,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications
22510502,Tristen Benton,2,CH 401-Food Chemistry,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,,,
21110462,Anais Torres,4,ES 613-Modern Control Theory,MSE 310-Physics of Materials,CS 303-Mathematical Foundations for AI,ME 636-Fuel Cell and Battery Systems,,
23510070,Jayden Black,3,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,ME 636-Fuel Cell and Battery Systems,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies,PH 607-Topics in Quantum and Statistical Mechanics
19510900,Molly Leonard,3,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,ES 623-Biomolecular Materials Science,CL 221-Chemical Engineering Thermodynamics,MSE 310-Physics of Materials,ME 321-Mechanics of Deformable Bodies
22510164,Ricardo Cruz,2,MSE 625-Thermodynamics of thin film growth,MSE 310-Physics of Materials,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory,,
19520714,Claire Knight,1,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,MA 624-Partial Differential Equations,ME 636-Fuel Cell and Battery Systems,MSE 310-Physics of Materials,
19520152,Beckett Blackburn,1,MSE 209-Material Thermodynamics and Kinetics,,,,,
19510100,Frida Avery,3,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,CE 304-Concrete Design,ES 415-Nature-inspired Materials Design,CH 401-Food Chemistry,
22520810,Jakari Manning,4,CE 304-Concrete Design,ES 415-Nature-inspired Materials Design,HS 643-Indian and Western Cultural Theory,ME 636-Fuel Cell and Battery Systems,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies
19110498,Jennifer Walls,4,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,CE 304-Concrete Design,CL 604-Advanced Reaction Engineering,CS 303-Mathematical Foundations for AI,
22510356,Larry Chase,3,CE 304-Concrete Design,ES 613-Modern Control Theory,HS 643-Indian and Western Cultural Theory,CE 636-Traffic and Roadway Engineering,,
20110068,Angie Simpson,1,CE 636-Traffic and Roadway Engineering,,,,,
22110265,Elliott Thompson,2,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,,,,
19110182,Madison Adams,3,CH 401-Food Chemistry,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,,,
21520189,Hudson Wiley,3,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,PH 607-Topics in Quantum and Statistical Mechanics,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies
19510114,Lauryn Monroe,4,ES 613-Modern Control Theory,CG 506-Experimental Techniques in Cognitive Science,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory,,
21110525,Colby Mills,2,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,ES 623-Biomolecular Materials Science,,,
20520126,June Strong,2,MA 624-Partial Differential Equations,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry
20110041,Axl Parsons,1,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,,,
21520245,Maia Johnson,1,MSE 209-Material Thermodynamics and Kinetics,CS 303-Mathematical Foundations for AI,ES 243-Biology for Engineers,CL 604-Advanced Reaction Engineering,ME 636-Fuel Cell and Battery Systems,
23520256,Noah McDaniel,2,MSE 401-Introduction to Polymer Physics and Processing,CS 303-Mathematical Foundations for AI,CL 221-Chemical Engineering Thermodynamics,ES 623-Biomolecular Materials Science,MSE 310-Physics of Materials,ME 321-Mechanics of Deformable Bodies
21510073,Dahlia Parker,4,MSE 209-Material Thermodynamics and Kinetics,CS 303-Mathematical Foundations for AI,CL 628-Liquid State Theory,ME 636-Fuel Cell and Battery Systems,MSE 401-Introduction to Polymer Physics and Processing,
19110336,Caleb McKinney,2,CL 221-Chemical Engineering Thermodynamics,HS 643-Indian and Western Cultural Theory,,,,
19520269,Gwendolyn Norman,2,CL 221-Chemical Engineering Thermodynamics,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,,,
19110764,Aziel Fitzgerald,3,MSE 209-Material Thermodynamics and Kinetics,ES 243-Biology for Engineers,MA 624-Partial Differential Equations,,,
22110812,Marlee Weiss,3,ME 636-Fuel Cell and Battery Systems,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,
19510281,Koa White,1,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,MSE 310-Physics of Materials,,
23510043,Layla Kim,2,MSE 209-Material Thermodynamics and Kinetics,PH 607-Topics in Quantum and Statistical Mechanics,MA 624-Partial Differential Equations,CH 401-Food Chemistry,CL 221-Chemical Engineering Thermodynamics,
21520120,Roman Wilson,2,HS 643-Indian and Western Cultural Theory,ME 636-Fuel Cell and Battery Systems,ES 415-Nature-inspired Materials Design,ME 321-Mechanics of Deformable Bodies,HS 649-Public Policy and its Impact Evaluation,ES 243-Biology for Engineers
23510120,Luna Flynn,1,CE 304-Concrete Design,,,,,
19520724,Kannon Orozco,3,CE 304-Concrete Design,MSE 209-Material Thermodynamics and Kinetics,HS 632-A Multilingual Nation,CL 604-Advanced Reaction Engineering,MSE 401-Introduction to Polymer Physics and Processing,
22110225,Renata McIntyre,3,MSE 401-Introduction to Polymer Physics and Processing,HS 649-Public Policy and its Impact Evaluation,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics
19110912,Eliseo Parrish,3,CL 604-Advanced Reaction Engineering,CE 624-River Engineering,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,,
21520714,Tiana Arroyo,1,EH 617-Advanced Field Techniques in Earth Sciences,MSE 401-Introduction to Polymer Physics and Processing,EH 614-Physics of the Lithosphere,MA 624-Partial Differential Equations,,
